"fiscalyear","dist","district_name","source","expenditures_per_pupil","amount","enrollment_category","enrollment_category_number","topic","proficient","total","percent_proficient","proficient_category"
2017,"6030","Sioux Center","Instruction",8418,10058086,"1,000-2,499","4","Reading",73,84,"86.90","80.1 - 90%"
2017,"6039","Sioux City","Instruction",7501,109625866,"7,500+","6","Reading",634,875,"72.50","70.1 - 80%"
2017,"6093","Solon","Instruction",7190,9325129,"1,000-2,499","4","Reading",96,108,"88.90","80.1 - 90%"
2017,"6091","South Central Calhoun","Instruction",7115,6551952,"600-999","3","Reading",59,67,"88.10","80.1 - 90%"
2017,"6095","South Hamilton","Instruction",8607,5606036,"600-999","3","Reading",58,62,"93.50","90.1 - 100%"
2017,"6098","South Tama County","Instruction",7549,11657160,"1,000-2,499","4","Reading",73,104,"70.20","70.1 - 80%"
2017,"6100","South Winneshiek","Instruction",8640,4717393,"300-599","2","Reading",43,52,"82.70","80.1 - 90%"
2017,"6101","Southeast Polk","Instruction",7038,47869446,"2,500-7,499","5","Reading",354,462,"76.60","70.1 - 80%"
2017,"6094","Southeast Warren","Instruction",7568,4521126,"300-599","2","Reading",37,40,"92.50","90.1 - 100%"
2017,"6102","Spencer","Instruction",8366,15686910,"1,000-2,499","4","Reading",115,130,"88.50","80.1 - 90%"
2017,"6120","Spirit Lake","Instruction",7725,9044232,"1,000-2,499","4","Reading",83,97,"85.60","80.1 - 90%"
2017,"6138","Springville","Instruction",8279,2974513,"300-599","2","Reading",22,29,"75.90","70.1 - 80%"
2017,"5751","St Ansgar","Instruction",7858,4780766,"600-999","3","Reading",45,51,"88.20","80.1 - 90%"
2017,"6165","Stanton","Instruction",9072,1687370,"<300","1","Reading",12,13,"92.30","90.1 - 100%"
2017,"6175","Starmont","Instruction",7700,4777186,"600-999","3","Reading",40,46,"87.00","80.1 - 90%"
2017,"6219","Storm Lake","Instruction",8011,18599112,"1,000-2,499","4","Reading",104,143,"72.70","70.1 - 80%"
2017,"6273","Sumner-Fredericksburg","Instruction",7596,6323922,"600-999","3","Reading",34,42,"81.00","80.1 - 90%"
2017,"6408","Tipton","Instruction",6770,5899211,"600-999","3","Reading",54,64,"84.40","80.1 - 90%"
2017,"6453","Treynor","Instruction",8825,5049533,"300-599","2","Reading",38,40,"95.00","90.1 - 100%"
2017,"6460","Tri-Center","Instruction",7531,4877199,"600-999","3","Reading",41,47,"87.20","80.1 - 90%"
2017,"6462","Tri-County","Instruction",8993,2384111,"<300","1","Reading",18,23,"78.30","70.1 - 80%"
2017,"6471","Tripoli","Instruction",7477,3379555,"300-599","2","Reading",32,35,"91.40","90.1 - 100%"
2017,"6509","Turkey Valley","Instruction",8993,3068399,"300-599","2","Reading",26,31,"83.90","80.1 - 90%"
2017,"6512","Twin Cedars","Instruction",8582,2947912,"300-599","2","Reading",17,21,"81.00","80.1 - 90%"
2017,"6534","Underwood","Instruction",7497,5228408,"600-999","3","Reading",50,60,"83.30","80.1 - 90%"
2017,"6579","Urbandale","Instruction",8287,28246285,"2,500-7,499","5","Reading",233,287,"81.20","80.1 - 90%"
2017,"6592","Van Buren","Instruction",8734,5512140,"600-999","3","Reading",35,45,"77.80","70.1 - 80%"
2017,"6615","Van Meter","Instruction",8600,5210677,"600-999","3","Reading",59,65,"90.80","90.1 - 100%"
2017,"6660","Vinton-Shellsburg","Instruction",7849,12488353,"1,000-2,499","4","Reading",85,100,"85.00","80.1 - 90%"
2017,"6700","Waco","Instruction",8531,3990934,"300-599","2","Reading",22,27,"81.50","80.1 - 90%"
2017,"6759","Wapello","Instruction",8595,5743340,"600-999","3","Reading",38,50,"76.00","70.1 - 80%"
2017,"6762","Wapsie Valley","Instruction",7911,5456667,"600-999","3","Reading",38,50,"76.00","70.1 - 80%"
2017,"6768","Washington","Instruction",7417,12645948,"1,000-2,499","4","Reading",103,137,"75.20","70.1 - 80%"
2017,"6795","Waterloo","Instruction",7043,77023833,"7,500+","6","Reading",415,604,"68.70","60.1 - 70%"
2017,"6822","Waukee","Instruction",6621,62561878,"7,500+","6","Reading",482,550,"87.60","80.1 - 90%"
2017,"6840","Waverly-Shell Rock","Instruction",8147,16261181,"1,000-2,499","4","Reading",127,145,"87.60","80.1 - 90%"
2017,"6854","Wayne","Instruction",8121,4456934,"300-599","2","Reading",32,44,"72.70","70.1 - 80%"
